./waf --run "evoMCS -runs=3 -walk=0 -verbose=1 -seed=1 -numAp=9 -numSta=16 -duration=10 -dataRate=100000 -technology=1 -frequency=5 -channelWidth=160 -useUdp=1 -useRts=0 -guardInterval=1 -enableObssPd=1 -useExtendedBlockAck=1 -mcs=15"

Flow;source;src_port;destiny;dst_port;proto;direction;tx_packets;tx_bytes;tx_offered_raw;tx_offered_mbps;rx_bytes;rx_throughput_raw;rx_throughput_mbps;mean_delay(ms);mean_jitter(ms);rx_packets;lost_packets;packet_loss_ratio 
1;172.1.0.2;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;84932;67945.600000;0.067946;387.080277;6.836097;1249;2813;69.251600
2;172.1.0.3;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;66844;53475.200000;0.053475;359.160080;8.363981;983;3079;75.800098
3;172.1.0.4;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;71808;57446.400000;0.057446;403.184678;9.311270;1056;3006;74.002954
4;172.1.0.5;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;65076;52060.800000;0.052061;419.541045;9.831991;957;3105;76.440177
5;172.1.0.6;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;89556;71644.800000;0.071645;384.221940;8.898015;1317;2745;67.577548
6;172.1.0.7;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;134028;107222.400000;0.107222;363.787254;7.577325;1971;2091;51.477105
7;172.1.0.8;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;135116;108092.800000;0.108093;361.664524;8.044678;1987;2075;51.083210
8;172.1.0.9;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;114104;91283.200000;0.091283;361.748354;8.081776;1678;2384;58.690300
9;172.1.0.10;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;83164;66531.200000;0.066531;451.597867;9.002380;1223;2839;69.891679
10;172.1.0.11;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;122876;98300.800000;0.098301;361.429344;8.731727;1807;2255;55.514525
11;172.1.0.12;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;273632;218905.600000;0.218906;4.600261;1.900075;4024;38;0.935500
12;172.1.0.13;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;145044;116035.200000;0.116035;410.685227;8.241769;2133;1929;47.488922
13;172.1.0.14;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;46512;37209.600000;0.037210;423.960358;9.739194;684;3378;83.161004
14;172.1.0.15;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;89828;71862.400000;0.071862;410.738274;9.117288;1321;2741;67.479074
15;172.1.0.16;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;122944;98355.200000;0.098355;385.741450;8.599808;1808;2254;55.489906
16;172.1.0.17;49153;172.1.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;120972;96777.600000;0.096778;411.469629;9.010896;1779;2283;56.203840
17;172.2.0.2;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;88876;71100.800000;0.071101;411.664211;8.040250;1307;2755;67.823732
18;172.2.0.3;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;75820;60656.000000;0.060656;410.461068;10.781264;1115;2947;72.550468
19;172.2.0.4;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;77316;61852.800000;0.061853;374.934091;8.064077;1137;2925;72.008863
20;172.2.0.5;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;54536;43628.800000;0.043629;388.366058;9.001679;802;3260;80.256032
21;172.2.0.6;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;76840;61472.000000;0.061472;362.576376;7.830526;1130;2932;72.181192
22;172.2.0.7;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;96084;76867.200000;0.076867;387.703287;8.670473;1413;2649;65.214180
23;172.2.0.8;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;135728;108582.400000;0.108582;385.335706;7.888527;1996;2066;50.861645
24;172.2.0.9;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;119136;95308.800000;0.095309;393.137613;8.864122;1752;2310;56.868538
25;172.2.0.10;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;95540;76432.000000;0.076432;421.969901;8.371771;1405;2657;65.411128
26;172.2.0.11;49153;172.2.0.1;9;UDP;upload;4062;276216;220972.800000;0.220973;148444;118755.200000;0.118755;394.794584;7.456153;2183;1879;46.258001
