./wafpython3 ../../evo.py
energy: 2.06965	throughput: 15532.4	packet_loss: 0.555551
energy: 2.16244	throughput: 119010.0	packet_loss: 0.0118476
energy: 2.11002	throughput: 127970.0	packet_loss: 0.00216259
energy: 2.09202	throughput: 128078.0	packet_loss: 0.00148773
energy: 0.578023	throughput: 30621.0	packet_loss: 0.750117
energy: 0.579756	throughput: 30620.0	packet_loss: 0.750098
energy: 0.605299	throughput: 30621.0	packet_loss: 0.750087
energy: 0.597976	throughput: 28748.7	packet_loss: 0.751934
energy: 0.597064	throughput: 28748.7	packet_loss: 0.751939
energy: 2.14078	throughput: 118937.0	packet_loss: 0.011545
energy: 2.08988	throughput: 127943.0	packet_loss: 0.00218436
energy: 2.08495	throughput: 122628.0	packet_loss: 0.0150061
energy: 2.15613	throughput: 125334.0	packet_loss: 0.00966197
energy: 0.579389	throughput: 30621.0	packet_loss: 0.75009
energy: 2.12575	throughput: 127897.0	packet_loss: 0.00287702
energy: 2.11123	throughput: 127968.0	packet_loss: 0.00225267
energy: 2.10603	throughput: 118867.0	packet_loss: 0.0100797
energy: 2.07995	throughput: 128082.0	packet_loss: 0.001265
energy: 0.568861	throughput: 30621.0	packet_loss: 0.750088
energy: 0.57768	throughput: 30621.0	packet_loss: 0.750098
energy: 0.64326	throughput: 127979.0	packet_loss: 0.00217033
energy: 0.64326	throughput: 127979.0	packet_loss: 0.00217033
energy: 0.678366	throughput: 118833.0	packet_loss: 0.0126985
energy: 0.675759	throughput: 118643.0	packet_loss: 0.0120235
energy: 0.692877	throughput: 118872.0	packet_loss: 0.0119651
[[0, 5, 80, 0, 1, 1600, 1, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 6, 20, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 5, 20, 1, 0, 1600, 0, 1, 1, 0.675759, 118643.0, 0.0120235, 5.695734261608354e-06], [0, 6, 20, 1, 1, 3200, 0, 1, 4, 0.678366, 118833.0, 0.0126985, 5.708565802428618e-06], [0, 6, 20, 1, 1, 3200, 1, 0, 1, 0.692877, 118872.0, 0.0119651, 5.8287653947102765e-06], [1, 5, 20, 0, 0, 1, 0, 1, 13, 2.07995, 128082.0, 0.001265, 1.6239206133570684e-05], [1, 5, 160, 0, 0, 1, 0, 1, 11, 2.09202, 128078.0, 0.00148773, 1.6333952747544467e-05], [1, 5, 160, 0, 1, 0, 1, 0, 19, 2.08988, 127943.0, 0.00218436, 1.6334461439859938e-05], [1, 5, 160, 0, 1, 1, 0, 1, 17, 2.11002, 127970.0, 0.00216259, 1.6488395717746347e-05], [1, 5, 160, 0, 1, 1, 1, 0, 10, 2.11123, 127968.0, 0.00225267, 1.6498108902225556e-05], [1, 5, 40, 0, 1, 0, 0, 1, 9, 2.12575, 127897.0, 0.00287702, 1.6620796422120927e-05], [1, 5, 40, 0, 1, 0, 0, 0, 14, 2.08495, 122628.0, 0.0150061, 1.7002234399973905e-05], [1, 5, 160, 0, 0, 1, 1, 1, 1, 2.15613, 125334.0, 0.00966197, 1.720307338790751e-05], [1, 5, 20, 1, 0, 1, 0, 0, 18, 2.10603, 118867.0, 0.0100797, 1.7717533041130004e-05], [1, 5, 160, 1, 1, 1, 0, 0, 9, 2.14078, 118937.0, 0.011545, 1.799927692812161e-05], [1, 5, 80, 1, 0, 1, 1, 1, 16, 2.16244, 119010.0, 0.0118476, 1.8170237795143267e-05], [0, 6, 80, 0, 0, 3200, 0, 0, 9, 0.568861, 30621.0, 0.750088, 1.857747950752751e-05], [0, 6, 80, 0, 0, 800, 1, 0, 10, 0.57768, 30621.0, 0.750098, 1.8865484471441168e-05], [0, 5, 80, 0, 0, 800, 0, 1, 10, 0.578023, 30621.0, 0.750117, 1.88766859344894e-05], [0, 5, 40, 0, 0, 3200, 1, 0, 10, 0.579389, 30621.0, 0.75009, 1.8921295842722316e-05], [0, 5, 40, 0, 1, 3200, 1, 1, 7, 0.579756, 30620.0, 0.750098, 1.8933899412148925e-05], [0, 6, 80, 0, 1, 3200, 0, 0, 10, 0.605299, 30621.0, 0.750087, 1.976744717677411e-05], [0, 6, 160, 1, 1, 1600, 0, 1, 7, 0.597064, 28748.7, 0.751939, 2.0768382570342313e-05], [0, 6, 20, 1, 1, 3200, 0, 0, 8, 0.597976, 28748.7, 0.751934, 2.0800105743911895e-05], [1, 5, 160, 0, 0, 1, 1, 1, 23, 2.06965, 15532.4, 0.555551, 0.0001332472766604002]]
Run: 0	 Scenario: 0
energy: 2.10603	throughput: 118867.0	packet_loss: 0.0100797
energy: 2.14078	throughput: 118937.0	packet_loss: 0.011545
energy: 2.11986	throughput: 127963.0	packet_loss: 0.00227291
energy: 2.11986	throughput: 127963.0	packet_loss: 0.00227291
energy: 2.08495	throughput: 122628.0	packet_loss: 0.0150061
energy: 0.567941	throughput: 30621.0	packet_loss: 0.750088
energy: 0.567941	throughput: 30621.0	packet_loss: 0.750088
energy: 0.639173	throughput: 128071.0	packet_loss: 0.00364291
energy: 0.64326	throughput: 127979.0	packet_loss: 0.00217033
energy: 0.64326	throughput: 127979.0	packet_loss: 0.00217033
energy: 0.675759	throughput: 118643.0	packet_loss: 0.0120235
energy: 0.676069	throughput: 119035.0	packet_loss: 0.0121497
energy: 0.676069	throughput: 119035.0	packet_loss: 0.0121497
energy: 2.07977	throughput: 128081.0	packet_loss: 0.00130978
energy: 2.12575	throughput: 127897.0	packet_loss: 0.00287702
energy: 2.11002	throughput: 127970.0	packet_loss: 0.00216259
energy: 2.10016	throughput: 118869.0	packet_loss: 0.0112286
energy: 0.598952	throughput: 30621.0	packet_loss: 0.750088
[[0, 5, 80, 0, 0, 800, 0, 1, 1, 0.639173, 128071.0, 0.00364291, 4.990770744352742e-06], [0, 5, 80, 0, 1, 1600, 1, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 6, 20, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 5, 20, 1, 1, 3200, 0, 0, 4, 0.676069, 119035.0, 0.0121497, 5.679581635653379e-06], [0, 5, 20, 1, 1, 3200, 0, 0, 4, 0.676069, 119035.0, 0.0121497, 5.679581635653379e-06], [0, 5, 20, 0, 0, 800, 0, 1, 7, 0.567941, 30621.0, 0.750088, 5.679581635653379e-06], [0, 5, 20, 0, 0, 800, 0, 1, 7, 0.567941, 30621.0, 0.750088, 5.679581635653379e-06], [0, 5, 20, 1, 0, 1600, 0, 1, 1, 0.675759, 118643.0, 0.0120235, 5.695734261608354e-06], [1, 5, 40, 0, 1, 1, 0, 1, 3, 2.11986, 127963.0, 0.00227291, 5.695734261608354e-06], [1, 5, 40, 0, 1, 1, 0, 1, 3, 2.11986, 127963.0, 0.00227291, 5.695734261608354e-06], [0, 6, 20, 1, 1, 3200, 0, 1, 4, 0.678366, 118833.0, 0.0126985, 5.708565802428618e-06], [0, 6, 20, 1, 1, 3200, 1, 0, 1, 0.692877, 118872.0, 0.0119651, 5.8287653947102765e-06], [1, 5, 20, 0, 0, 1, 0, 0, 14, 2.07977, 128081.0, 0.00130978, 1.623792756146501e-05], [1, 5, 20, 0, 0, 1, 0, 1, 13, 2.07995, 128082.0, 0.001265, 1.6239206133570684e-05], [1, 5, 160, 0, 0, 1, 0, 1, 11, 2.09202, 128078.0, 0.00148773, 1.6333952747544467e-05], [1, 5, 80, 0, 1, 1, 1, 0, 17, 2.11002, 127970.0, 0.00216259, 1.6488395717746347e-05], [1, 5, 40, 0, 1, 0, 0, 1, 14, 2.08495, 122628.0, 0.0150061, 1.6566194915717827e-05], [1, 5, 20, 0, 1, 0, 0, 0, 9, 2.12575, 127897.0, 0.00287702, 1.6620796422120927e-05], [1, 5, 160, 1, 1, 0, 0, 1, 19, 2.10016, 118869.0, 0.0112286, 1.7667852846410754e-05], [1, 5, 20, 1, 0, 1, 1, 0, 18, 2.10603, 118867.0, 0.0100797, 1.7717533041130004e-05], [1, 5, 160, 1, 1, 0, 0, 0, 9, 2.14078, 118937.0, 0.011545, 1.799927692812161e-05], [0, 6, 20, 1, 0, 1600, 0, 1, 1, 0.675759, 118643.0, 0.0120235, 1.8547434766989975e-05], [0, 5, 40, 0, 1, 1600, 1, 1, 11, 0.598952, 30621.0, 0.750088, 1.956017112439176e-05]]
Run: 1	 Scenario: 0
energy: 2.11123	throughput: 127968.0	packet_loss: 0.00225267
energy: 2.08495	throughput: 122628.0	packet_loss: 0.0150061
energy: 2.11123	throughput: 127968.0	packet_loss: 0.00225267
energy: 0.567937	throughput: 30621.0	packet_loss: 0.750088
energy: 2.10016	throughput: 118869.0	packet_loss: 0.0112286
energy: 2.08495	throughput: 122628.0	packet_loss: 0.0150061
energy: 0.639173	throughput: 128071.0	packet_loss: 0.00364291
energy: 0.64326	throughput: 127979.0	packet_loss: 0.00217033
energy: 0.64326	throughput: 127979.0	packet_loss: 0.00217033
energy: 0.664672	throughput: 82355.3	packet_loss: 0.313674
energy: 0.664672	throughput: 82355.3	packet_loss: 0.313674
energy: 0.676556	throughput: 118699.0	packet_loss: 0.012001
energy: 0.676556	throughput: 118699.0	packet_loss: 0.012001
energy: 2.25204	throughput: 117616.0	packet_loss: 0.0368604
energy: 2.11002	throughput: 127970.0	packet_loss: 0.00216259
energy: 2.085	throughput: 128035.0	packet_loss: 0.00118587
energy: 0.656193	throughput: 125270.0	packet_loss: 0.00905325
energy: 0.644726	throughput: 127926.0	packet_loss: 0.00250197
[[0, 5, 80, 0, 0, 800, 0, 1, 1, 0.639173, 128071.0, 0.00364291, 4.990770744352742e-06], [0, 5, 80, 0, 1, 1600, 1, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 6, 20, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 6, 80, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 5, 80, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 5, 20, 0, 1, 1600, 0, 1, 3, 0.64326, 127979.0, 0.00217033, 5.0262933762570425e-06], [0, 5, 40, 0, 1, 3200, 0, 0, 4, 0.644726, 127926.0, 0.00250197, 5.0398355299157324e-06], [0, 6, 20, 0, 1, 3200, 0, 0, 2, 0.656193, 125270.0, 0.00905325, 5.2382294244432025e-06], [0, 5, 20, 1, 1, 3200, 0, 0, 4, 0.676069, 119035.0, 0.0121497, 5.679581635653379e-06], [0, 5, 20, 1, 1, 3200, 0, 0, 4, 0.676069, 119035.0, 0.0121497, 5.679581635653379e-06], [0, 5, 20, 1, 0, 3200, 1, 0, 1, 0.676556, 118699.0, 0.012001, 5.699761581816191e-06], [0, 5, 20, 1, 0, 3200, 1, 0, 1, 0.676556, 118699.0, 0.012001, 5.699761581816191e-06], [0, 5, 80, 1, 1, 1600, 1, 0, 5, 0.664672, 82355.3, 0.313674, 8.070785972487503e-06], [0, 5, 80, 1, 1, 1600, 1, 0, 5, 0.664672, 82355.3, 0.313674, 8.070785972487503e-06], [0, 5, 20, 0, 0, 800, 0, 0, 7, 0.567937, 30621.0, 0.750088, 8.070785972487503e-06], [1, 5, 160, 0, 1, 1, 0, 1, 15, 2.085, 128035.0, 0.00118587, 1.6284609677041435e-05], [1, 5, 20, 0, 1, 0, 1, 1, 17, 2.11002, 127970.0, 0.00216259, 1.6488395717746347e-05], [1, 5, 40, 0, 1, 1, 0, 1, 10, 2.11123, 127968.0, 0.00225267, 1.6498108902225556e-05], [1, 5, 40, 0, 1, 1, 0, 1, 10, 2.11123, 127968.0, 0.00225267, 1.6498108902225556e-05], [1, 5, 80, 1, 1, 0, 0, 1, 19, 2.10016, 118869.0, 0.0112286, 1.6498108902225556e-05], [1, 5, 20, 0, 1, 0, 0, 0, 14, 2.08495, 122628.0, 0.0150061, 1.7002234399973905e-05], [1, 5, 20, 0, 1, 0, 0, 0, 14, 2.08495, 122628.0, 0.0150061, 1.7002234399973905e-05], [0, 5, 40, 0, 0, 800, 0, 1, 1, 0.639173, 128071.0, 0.00364291, 1.854730413768329e-05], [1, 5, 160, 1, 0, 0, 0, 1, 0, 2.25204, 117616.0, 0.0368604, 1.9147394912256835e-05]]
Run: 2	 Scenario: 0
energy: 2.16804	throughput: 119127.0	packet_loss: 0.0123636
energy: 2.16804	throughput: 119127.0	packet_loss: 0.0123636
energy: 2.11517	throughput: 128071.0	packet_loss: 0.00161994
energy: 2.11517	throughput: 128071.0	packet_loss: 0.00161994
energy: 0.567937	throughput: 30621.0	packet_loss: 0.750088
energy: 0.629483	throughput: 128063.0	packet_loss: 0.00412229
energy: 0.629483	throughput: 128063.0	packet_loss: 0.00412229
energy: 0.637507	throughput: 128065.0	packet_loss: 0.00330859
energy: 0.637507	throughput: 128065.0	packet_loss: 0.00330859
energy: 0.6501	throughput: 85287.3	packet_loss: 0.294828
energy: 0.674339	throughput: 118812.0	packet_loss: 0.012143
energy: 0.676069	throughput: 119035.0	packet_loss: 0.0121497
energy: 0.674339	throughput: 118812.0	packet_loss: 0.012143
energy: 2.10656	throughput: 127871.0	packet_loss: 0.00289102
energy: 2.13202	throughput: 119023.0	packet_loss: 0.0112337
energy: 2.10504	throughput: 118963.0	packet_loss: 0.011186
energy: 0.584401	throughput: 30621.0	packet_loss: 0.750088
energy: 0.597983	throughput: 28748.7	packet_loss: 0.751949
