FlowID,Protocol,SourceAddress,OutputAddress,TXBitrate(kbit/s),RXBitrate(kbit/s),MeanDelay(ms),PacketLossRatio
1,UDP,172.1.0.2/49153,10.1.1.3/9,17.05,17.17,9.26,0.00 %
2,UDP,172.1.0.3/49153,10.1.1.3/9,17.05,17.20,9.39,0.00 %
3,UDP,172.1.0.4/49153,10.1.1.3/9,17.05,17.26,9.21,0.00 %
4,UDP,172.1.0.5/49153,10.1.1.3/9,17.05,17.12,8.74,0.00 %
5,UDP,172.1.0.6/49153,10.1.1.3/9,17.05,17.19,8.84,0.00 %
6,UDP,172.1.0.7/49153,10.1.1.3/9,17.05,17.15,8.46,0.00 %
7,UDP,172.1.0.8/49153,10.1.1.3/9,17.05,17.19,9.16,0.00 %
8,UDP,172.1.0.9/49153,10.1.1.3/9,17.05,17.12,8.25,0.00 %
9,UDP,172.1.0.10/49153,10.1.1.3/9,17.05,17.08,8.89,0.00 %
10,UDP,172.1.0.11/49153,10.1.1.3/9,17.05,17.13,9.16,0.00 %
11,UDP,172.1.0.12/49153,10.1.1.3/9,17.05,17.10,8.94,0.00 %
12,UDP,172.1.0.13/49153,10.1.1.3/9,17.05,17.09,8.15,0.00 %
13,UDP,172.1.0.14/49153,10.1.1.3/9,17.05,17.19,6.65,0.00 %
14,UDP,172.1.0.15/49153,10.1.1.3/9,17.05,17.23,7.15,0.00 %
15,UDP,172.1.0.16/49153,10.1.1.3/9,17.05,17.19,8.32,0.00 %
16,UDP,172.1.0.17/49153,10.1.1.3/9,17.05,17.16,9.46,0.00 %
17,UDP,172.1.0.18/49153,10.1.1.3/9,17.05,17.14,7.53,0.00 %
18,UDP,172.1.0.19/49153,10.1.1.3/9,17.05,17.08,5.01,0.00 %
19,UDP,172.1.0.20/49153,10.1.1.3/9,17.05,17.09,7.76,0.00 %
20,UDP,172.1.0.21/49153,10.1.1.3/9,17.05,17.14,8.57,0.00 %
21,UDP,172.2.0.2/49153,10.1.1.3/9,17.05,17.20,10.36,0.00 %
22,UDP,172.2.0.3/49153,10.1.1.3/9,17.05,17.10,9.15,0.00 %
23,UDP,172.2.0.4/49153,10.1.1.3/9,17.05,17.23,9.53,0.00 %
24,UDP,172.2.0.5/49153,10.1.1.3/9,17.05,17.18,7.31,0.00 %
25,UDP,172.2.0.6/49153,10.1.1.3/9,17.05,17.06,6.01,0.00 %
26,UDP,172.2.0.7/49153,10.1.1.3/9,17.05,17.18,10.04,0.00 %
27,UDP,172.2.0.8/49153,10.1.1.3/9,17.05,17.07,8.86,0.00 %
28,UDP,172.2.0.9/49153,10.1.1.3/9,17.05,17.20,7.63,0.00 %
29,UDP,172.2.0.10/49153,10.1.1.3/9,17.05,17.06,7.97,0.00 %
30,UDP,172.2.0.11/49153,10.1.1.3/9,17.05,17.19,7.70,0.00 %
31,UDP,172.2.0.12/49153,10.1.1.3/9,17.05,17.17,9.35,0.00 %
32,UDP,172.2.0.13/49153,10.1.1.3/9,17.05,17.19,8.50,0.00 %
33,UDP,172.2.0.14/49153,10.1.1.3/9,17.05,17.07,7.90,0.00 %
34,UDP,172.2.0.15/49153,10.1.1.3/9,17.05,17.19,8.54,0.00 %
35,UDP,172.2.0.16/49153,10.1.1.3/9,17.05,17.07,6.58,0.00 %
36,UDP,172.2.0.17/49153,10.1.1.3/9,17.05,17.19,9.65,0.00 %
37,UDP,172.2.0.18/49153,10.1.1.3/9,17.05,17.09,7.28,0.00 %
38,UDP,172.2.0.19/49153,10.1.1.3/9,17.05,17.09,7.87,0.00 %
39,UDP,172.2.0.20/49153,10.1.1.3/9,17.05,17.10,7.21,0.00 %
40,UDP,172.2.0.21/49153,10.1.1.3/9,17.05,17.09,4.25,0.00 %
